top_R,top_G,top_B,bot_R,bot_G,bot_B,delta_e,match
254,253,253,238,238,238,3.15,Poor
196,25,54,69,64,50,32.87,Moderate
254,254,254,39,43,48,74.07,Good
236,235,236,105,123,153,34.1,Moderate
254,254,254,226,227,226,5.76,Poor
243,219,133,235,236,232,21.47,Poor
180,181,178,235,235,231,13.01,Poor
207,179,116,253,254,253,25.72,Moderate
110,40,41,174,149,111,40.76,Moderate
240,239,239,235,236,232,2.69,Poor
228,228,228,235,235,231,2.56,Poor
185,185,185,253,254,253,15.7,Poor
254,254,254,254,254,254,0.0,Poor
253,253,253,243,241,237,3.17,Poor
253,253,253,254,254,254,0.2,Poor
254,254,254,254,254,254,0.0,Poor
232,228,219,247,247,247,5.91,Poor
254,254,254,254,254,254,0.0,Poor
245,246,245,174,149,111,28.13,Moderate
248,248,248,254,254,254,1.2,Poor
53,75,69,254,254,254,58.56,Good
237,237,236,77,70,43,56.26,Good
231,229,227,254,254,254,5.29,Poor
254,254,254,254,253,254,0.84,Poor
254,254,254,55,17,31,84.92,Good
249,245,244,238,238,238,2.49,Poor
253,252,251,253,253,252,0.53,Poor
181,177,174,253,253,252,17.62,Poor
226,227,225,237,237,237,2.59,Poor
253,253,253,218,218,213,7.98,Poor
217,214,210,218,218,213,1.91,Poor
243,242,242,54,61,49,62.77,Good
252,252,252,254,254,254,0.4,Poor
214,214,214,254,254,254,8.57,Poor
213,195,55,46,33,29,67.48,Good
254,254,254,238,238,238,3.27,Poor
254,254,254,254,254,253,0.54,Poor
254,254,254,134,135,144,30.86,Moderate
252,253,251,254,254,254,1.31,Poor
254,254,254,237,237,236,3.54,Poor
240,240,238,230,230,228,2.13,Poor
254,254,254,127,127,127,33.41,Moderate
254,254,254,151,148,142,26.53,Moderate
254,254,252,203,198,198,12.5,Poor
230,229,225,237,237,237,2.68,Poor
190,192,187,42,54,39,56.82,Good
254,254,254,100,69,64,56.21,Good
254,254,253,235,235,231,4.25,Poor
236,235,232,237,235,233,0.84,Poor
228,227,227,94,16,37,70.83,Good
238,238,238,250,251,252,2.72,Poor
252,252,252,238,238,238,2.87,Poor
252,252,252,241,241,241,2.24,Poor
