product_id,gender,category,article_type,base_colour,occasion,available_sizes,pattern,sleeve_type,neck_type,material,style,description,price,image_path
P001,Women,Topwear,Dress,Black,Party,S/M/L/XL/XXXXL,Polka dot,Sheer puff sleeves,Sweetheart neck,Polyester/Spandex,Bodycon midi,Black bodycon midi dress with sheer polka dot puff sleeves and sweetheart neckline,4000,Images/P001.png
P002,Women,Topwear,Dress,Rose Gold,Party,S/M/L/XL,Sequin,Halter,Strapless,Sequin mesh,Fitted two-piece,Sequin halter crop top and mini skirt co-ord set in rose gold,5700,Images/P002.png
P003,Women,Topwear,Dress,Cream,Party,S/M/L/XL,Solid,Long sheer sleeves,Spaghetti strap,Chiffon,Bodycon mini,Cream ruched bodycon mini dress with sheer long sleeves and tie front detail,4160,Images/P003.png
P004,Women,Topwear,Dress,Blue,Casual,S/M/L/XL/XXL,Floral,Long puff sleeves,Square neck,Rayon,Floral midi,Blue floral print midi dress with square neck and long puff sleeves,4370,Images/P004.png
P005,Women,Topwear,Dress,White,Party,S/M/L/XL/XXL,Solid,Off-shoulder,Sweetheart neck,Polyester/Spandex,Bodycon mini,White off-shoulder bodycon mini dress,4740,Images/P005.png
P006,Women,Topwear,Dress,Navy Blue,Party,S/M/L/XL,Sequin,Spaghetti straps,V-neck,Sequin,Bodycon mini,Navy blue sequin bodycon mini dress with V-neckline,3870,Images/P006.png
P007,Women,Topwear,Dress,Pink,Party,S/M/L/XL,Solid,Long sleeves,Sweetheart neck,Polyester/Spandex,Ruched bodycon,pink ruched bodycon mini dress with long sleeves and corset-style neckline,3810,Images/P007.png
P008,Women,Topwear,Dress,Silver Grey,Party,S/M/L/XL/XXXL,Sequin,Long sleeves,V-neck,Sequin,Bodycon mini,Silver grey sequin bodycon mini dress with wrap front and long sleeves,3990,Images/P008.png
P009,Women,Topwear,Dress,Olive Green,Casual,S/M/L/XL,Solid,Off-shoulder,Strapless,Cotton/Chiffon,High-low maxi,Olive green off-shoulder high-low maxi dress with smocked bodice and tiered skirt,4400,Images/P009.png
P010,Women,Set,Kurta,Yellow,Party and Wedding,S/M/L/XL/XXXXL,Embroidered,Long sleeves,Round neck with embroidery,Georgette/Silk,Traditional embroidered,Yellow embroidered sharara set with kurta sharara pants and dupatta,5740,Images/P010.png
P011,Women,Set,Kurta,Green,Party and Wedding,S/M/L/XL,Floral,Long sleeves,Round neck,Cotton,A-line,Green floral print kurta set with churidar pants,8060,Images/P011.png
P012,Women,Set,Co-ord Set,White,Party,S/M/L/XL/XXL,Solid,Long sleeves,Off-shoulder,Polyester/Crepe,Fitted,White off-shoulder ruffle top with corset waist detail and matching pants,7810,Images/P012.png
P013,Women,Topwear,Dress,Blue,Casual,S/M/L/XL,Solid,Long bishop sleeves,V-neck wrap,Crepe,Wrap front mini,Light blue wrap front mini dress with long bishop sleeves,4720,Images/P013.png
P014,Women,Topwear,Dress,Green,Casual,S/M/L/XL,Embroidered,Short flutter sleeves,V-neck,Cotton/Chiffon,Flowy mini,Sage green embroidered mini dress with flutter sleeves,3720,Images/P014.png
P015,Women,Topwear,Dress,Teal Blue,Party,S/M/L/XL,Solid,Sleeveless,Spaghetti strap,Satin,High slit maxi,Teal blue satin backless high slit maxi dress,3820,Images/P015.png
P016,Women,Topwear,Dress,Navy Blue,Casual,S/M/L/XL,Floral,Long sleeves,Round neck,Cotton,Anarkali,Navy blue floral print anarkali dress with full sleeves,3550,Images/P016.png
P017,Women,Topwear,Dress,Peach Pink,Party,S/M/L/XL,Sequin,Sleeveless,Sweetheart neck,Tulle/Sequin,High-low gown,Peach pink sequin high-low gown with slit,4510,Images/P017.png
P018,Women,Outerwear,Cape/Shrug,Gold Multi,Party,S/M/L/XL,Sequin/Embroidered,Sleeveless,Collar neck,Sequin/Fringe,Fringe cape,Gold multicolor sequin embroidered cape with fringe detailing,3690,Images/P018.png
P019,Women,Topwear,Dress,Black,Party,S/M/L/XL/XXXL,Solid,Off-shoulder,Sweetheart neck,Satin/Taffeta,A-line midi,Black off-shoulder A-line midi dress,4340,Images/P019.png
P020,Women,Topwear,Dress,Black,Party,S/M/L/XL,Sequin,One shoulder,Asymmetric neck,Sequin,Bodycon mini with fringe,Black one-shoulder sequin bodycon mini dress with fringe hem,3970,Images/P020.png
P021,Women,Topwear,Dress,Brown,Casual,S/M/L/XL/XXXL,Solid,Long bell sleeves,V-neck with crochet trim,Rayon,Boho mini,Brown boho mini dress with crochet trim and bell sleeves,4050,Images/P021.png
P022,Women,Topwear,Dress,Gold,Party,S/M/L/XL,Sequin,One shoulder,Asymmetric neck,Sequin/Mesh,Bodycon mini,Gold one-shoulder sequin bodycon mini dress with mesh cutouts,4830,Images/P022.png
P023,Women,Topwear,Dress,Pink,Party,S/M/L/XL/XXXXL,Sequin,Spaghetti straps,Sweetheart neck,Sequin,Bodycon midi,Pink sequin bodycon midi dress with sweetheart neckline,3910,Images/P023.png
P024,Women,Topwear,Dress,Red,Party,S/M/L/XL/XXXXL,Solid,Thick straps,Square neck,Velvet,Bodycon midi with slit,Burgundy velvet bodycon midi dress with side slit,4590,Images/P024.png
